company,title,description,required_skills,location,work_mode,duration,stipend
Nimbus Metrics,Data Analytics Intern,"Domain: Data Analytics. Work with dashboards, clean campus-style datasets, and prepare weekly insight summaries for a sample product team. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Excel, SQL, Power BI, Communication",Bengaluru,Hybrid,3 months,Rs 10000/month
InsightGrove Labs,Junior Analytics Intern,"Domain: Data Analytics. Support reporting, create charts, and help the team track beginner-friendly KPIs for a fictional education platform. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Excel, Tableau, SQL, Data Analysis",Pune,On-site,2 months,Rs 8000/month
Harbor Insights,Business Analytics Intern,"Domain: Data Analytics. Analyze sample customer data, write short reports, and assist with Excel models used by a fictional retail analytics desk. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Excel, SQL, Communication, Power BI",Mumbai,Remote,3 months,Rs 12000/month
Lumen Analytics Co,Reporting Analytics Intern,"Domain: Data Analytics. Build weekly reports, check data quality, and document findings for a fictional operations dashboard. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Excel, SQL, Tableau",Hyderabad,Hybrid,6 months,Rs 15000/month
Northpeak Data Desk,Campus Analytics Intern,Domain: Data Analytics. Help analyze sample student engagement numbers and present simple insights to a fictional campus product team. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Excel, Communication, SQL",Kolkata,On-site,1 month,Rs 5000/month
Clearwave Analytics,Operations Analytics Intern,"Domain: Data Analytics. Clean spreadsheets, find trends, and support a fictional logistics reporting workflow. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Excel, Power BI, SQL, Data Analysis",Delhi,Remote,3 months,Rs 10000/month
PixelNest Science,Data Science Intern,"Domain: Data Science. Explore sample datasets, create notebooks, and help a fictional research pod summarize patterns. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Pandas, NumPy, SQL",Bengaluru,Hybrid,3 months,Rs 12000/month
Aether Data Studio,Junior Data Science Intern,"Domain: Data Science. Assist with exploratory analysis, basic statistics, and visualization for a fictional health-tech case study. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Pandas, Excel, Communication",Chennai,On-site,2 months,Rs 8000/month
Cobalt Notebook Labs,Applied Data Science Intern,Domain: Data Science. Prepare features from sample CSV files and help document a beginner data science pipeline. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Python, Pandas, NumPy, Matplotlib",Pune,Remote,3 months,Rs 10000/month
Sageleaf Dataworks,Data Science Research Intern,"Domain: Data Science. Read sample papers at a beginner level, reproduce simple notebooks, and write short experiment notes. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Pandas, SQL, Communication",Hyderabad,Hybrid,6 months,Rs 15000/month
Orbit Data Collective,Data Science Intern - Insights,Domain: Data Science. Turn sample datasets into charts and explain findings in plain language for a fictional product manager. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Python, Excel, SQL, Data Analysis",Noida,On-site,3 months,Rs 9000/month
Maplebyte Science,Student Data Science Intern,"Domain: Data Science. Practice data wrangling, EDA, and short presentations using fictional college placement data. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Pandas, NumPy, Communication",Ahmedabad,Remote,2 months,Rs 7000/month
NovaMind Studio,Machine Learning Intern,Domain: Machine Learning. Train beginner ML models on sample datasets and compare accuracy for a fictional recommendation sandbox. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Python, Machine Learning, Pandas, NumPy",Bengaluru,Hybrid,3 months,Rs 15000/month
Vector Bloom AI,ML Engineering Intern,"Domain: Machine Learning. Help package a simple model, write evaluation notes, and keep experiment logs for a fictional ML desk. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Scikit-learn, Git, Machine Learning",Hyderabad,On-site,6 months,Rs 12000/month
Cedar Model Labs,Junior Machine Learning Intern,Domain: Machine Learning. Work on classification and regression practice tasks using public-style sample data inside a fictional lab. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Python, Pandas, Machine Learning, Communication",Pune,Remote,3 months,Rs 10000/month
Helix Pattern Co,ML Intern - Model Evaluation,"Domain: Machine Learning. Measure precision, recall, and simple confusion matrices for beginner models in a fictional QA-for-ML team. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Machine Learning, Excel, SQL",Mumbai,Hybrid,2 months,Rs 8000/month
Brightforge AI,Machine Learning Research Intern,"Domain: Machine Learning. Reproduce a small ML notebook, tune basic hyperparameters, and present results to a fictional mentor. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, NumPy, Machine Learning, Git",Delhi,On-site,3 months,Rs 11000/month
Kitelearn Systems,Applied ML Intern,Domain: Machine Learning. Support a fictional internship-matching prototype by testing simple skill-classification models. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Python, Scikit-learn, Pandas, Machine Learning",Remote,Remote,3 months,Rs 12000/month
Bytebloom Software,Python Development Intern,"Domain: Python Development. Write beginner-friendly Python scripts, fix bugs, and add small features to a fictional internal tool. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Git, SQL, Communication",Bengaluru,On-site,3 months,Rs 10000/month
Otterstack Labs,Python Backend Intern,"Domain: Python Development. Help build Flask APIs, validate form data, and store records in SQLite for a fictional campus app. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Flask, SQLite, Git",Pune,Hybrid,3 months,Rs 12000/month
Lighthouse Scripts,Junior Python Intern,"Domain: Python Development. Automate file tasks, write reusable functions, and document scripts for a fictional operations team. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Excel, Git, Communication",Chennai,Remote,2 months,Rs 7000/month
Copperline Codeworks,Python Developer Intern,"Domain: Python Development. Contribute to a fictional inventory tool using Python modules, tests, and simple CLI commands. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Git, SQL, Testing",Hyderabad,On-site,6 months,Rs 15000/month
Riverbyte Apps,Python Intern - Automation,Domain: Python Development. Create small automation scripts and log results for a fictional content-processing pipeline. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Python, Pandas, Git",Kolkata,Hybrid,3 months,Rs 8000/month
Summit Py Studios,Python Software Intern,"Domain: Python Development. Pair with a mentor to add features, read existing code, and write beginner unit tests. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Python, Git, Flask, Communication",Noida,Remote,3 months,Rs 10000/month
Coralweb Studio,Web Development Intern,"Domain: Web Development. Build responsive pages with HTML, CSS, and JavaScript for a fictional student services website. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","HTML, CSS, JavaScript, Git",Bengaluru,Hybrid,3 months,Rs 10000/month
Fernpage Digital,Frontend Web Intern,Domain: Web Development. Convert sample designs into web pages and improve accessibility on a fictional NGO site. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"HTML, CSS, JavaScript, Bootstrap",Mumbai,On-site,2 months,Rs 8000/month
Dockside Webworks,Full Stack Web Intern,"Domain: Web Development. Work on Flask routes, templates, and forms for a fictional local events portal. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","HTML, CSS, Python, Flask",Pune,Remote,3 months,Rs 12000/month
Amberlane Sites,Web Developer Intern,"Domain: Web Development. Fix layout bugs, add simple animations, and maintain a fictional college club website. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","HTML, CSS, JavaScript, Git",Delhi,Hybrid,1 month,Rs 5000/month
Skyribbon Interactive,Junior Web Intern,"Domain: Web Development. Create landing pages, forms, and mobile-friendly layouts for a fictional internship board. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","HTML, CSS, JavaScript, Communication",Ahmedabad,On-site,3 months,Rs 9000/month
Leafnode Web Lab,Web Development Intern - UI Pages,"Domain: Web Development. Implement clean UI cards, navigation, and a search page for a fictional product catalog. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","HTML, CSS, JavaScript, Flask",Hyderabad,Remote,6 months,Rs 14000/month
Ironoak Systems,Java Development Intern,"Domain: Java Development. Write beginner Java programs, understand OOP, and contribute small modules to a fictional campus ERP. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Java, OOP, Git, SQL",Bengaluru,On-site,3 months,Rs 10000/month
Bluekettle Java Lab,Junior Java Intern,"Domain: Java Development. Practice collections, exception handling, and simple REST concepts in a fictional training desk. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Java, SQL, Git, Communication",Chennai,Hybrid,2 months,Rs 8000/month
Cedar JVM Works,Java Backend Intern,"Domain: Java Development. Help with Spring-style beginner services, logging, and database access for a fictional library system. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Java, SQL, Git, REST",Pune,Remote,3 months,Rs 12000/month
Northwind Codebase,Java Developer Intern,"Domain: Java Development. Read existing Java classes, fix bugs, and write comments for a fictional billing prototype. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Java, OOP, Git, Communication",Hyderabad,On-site,6 months,Rs 15000/month
Pebblebean Software,Java Intern - Applications,Domain: Java Development. Build small desktop-style Java utilities and document how they work for a fictional admin team. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Java, SQL, Git",Noida,Hybrid,3 months,Rs 9000/month
Quartzline Tech,Student Java Intern,Domain: Java Development. Support a fictional ticketing app by adding validation and beginner unit tests in Java. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Java, Testing, Git, OOP",Kolkata,Remote,3 months,Rs 10000/month
Softgrid Studio,UI/UX Intern,Domain: UI/UX. Create wireframes and simple high-fidelity screens in Figma for a fictional student app. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Figma, UI, UX, Communication",Bengaluru,Hybrid,3 months,Rs 10000/month
Paperkite Design,Junior UI/UX Intern,Domain: UI/UX. Run a small usability checklist and redesign one flow for a fictional internship portal. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Figma, UX, UI, Communication",Mumbai,On-site,2 months,Rs 8000/month
Orchid Interface Lab,Product Design Intern,"Domain: UI/UX. Map user journeys, sketch layouts, and prepare a case study for a fictional campus tool. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Figma, UX, Communication, Research",Pune,Remote,3 months,Rs 12000/month
Mintlane Creative,UI Design Intern,"Domain: UI/UX. Design cards, buttons, and a consistent color system for a fictional education brand. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Figma, UI, CSS, Communication",Delhi,Hybrid,3 months,Rs 9000/month
Haloform Design Co,UX Research Intern,"Domain: UI/UX. Write interview questions, summarize feedback, and suggest UX improvements for a fictional onboarding flow. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","UX, Communication, Figma, Research",Chennai,On-site,1 month,Rs 5000/month
Willowframe Studio,UI/UX Intern - Mobile Screens,Domain: UI/UX. Design mobile screens and a clickable prototype for a fictional attendance app. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Figma, UI, UX, Communication",Hyderabad,Remote,6 months,Rs 14000/month
Shieldnest Security,Cybersecurity Intern,"Domain: Cybersecurity. Learn basic threat awareness, document policies, and review sample logs in a fictional SOC-lite team. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Cybersecurity, Linux, Communication, Networking",Bengaluru,On-site,3 months,Rs 10000/month
Sentinel Birch Labs,Junior Security Intern,Domain: Cybersecurity. Practice password hygiene workshops and help write a fictional internship-scam awareness guide. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Cybersecurity, Communication, Python",Pune,Hybrid,2 months,Rs 8000/month
Harborlock Cyber,Cybersecurity Analyst Intern,"Domain: Cybersecurity. Triage sample alerts, label phishing examples, and keep a beginner incident notes template. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Cybersecurity, Linux, SQL, Communication",Hyderabad,Remote,3 months,Rs 12000/month
Redwood Secure Co,Security Awareness Intern,Domain: Cybersecurity. Create short training slides on phishing and safe browsing for a fictional employee academy. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Cybersecurity, Communication, HTML",Mumbai,On-site,3 months,Rs 9000/month
Nightingale SOC,Cybersecurity Intern - Monitoring,"Domain: Cybersecurity. Watch sample dashboards, escalate dummy alerts, and write daily summaries for a fictional monitor desk. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Cybersecurity, Linux, Excel, Communication",Delhi,Hybrid,6 months,Rs 15000/month
Keystone Blue Team,Student Cybersecurity Intern,Domain: Cybersecurity. Help review access checklists and document beginner secure-coding notes for a fictional web team. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Cybersecurity, Python, Git, Communication",Kolkata,Remote,3 months,Rs 10000/month
Nimbus Harbor Cloud,Cloud Computing Intern,"Domain: Cloud Computing. Learn beginner cloud concepts, document services, and help with a fictional deployment checklist. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Cloud Computing, Linux, Networking, Communication",Bengaluru,Hybrid,3 months,Rs 12000/month
Skyvault Systems,Junior Cloud Intern,"Domain: Cloud Computing. Assist with storage folders, simple VM notes, and beginner IAM explanations in a fictional cloud lab. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Cloud Computing, Linux, Communication",Hyderabad,On-site,2 months,Rs 8000/month
Cirrusbyte Cloud,Cloud Operations Intern,"Domain: Cloud Computing. Track sample uptime notes, write runbooks, and support a fictional staging environment. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Cloud Computing, Linux, Git, Communication",Pune,Remote,3 months,Rs 10000/month
Altostratus Tech,Cloud Computing Intern - DevOps Basics,"Domain: Cloud Computing. Observe CI notes, container basics, and deployment steps for a fictional student project pipeline. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Cloud Computing, Git, Linux, Python",Chennai,Hybrid,6 months,Rs 15000/month
Driftwood Cloud Co,Cloud Support Intern,Domain: Cloud Computing. Answer beginner cloud questions using a knowledge base for a fictional internal helpdesk. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Cloud Computing, Communication, Linux",Noida,On-site,3 months,Rs 9000/month
Bluecumulus Labs,Student Cloud Intern,Domain: Cloud Computing. Create architecture diagrams at a beginner level for a fictional web app hosted in the cloud. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Cloud Computing, Communication, Networking",Mumbai,Remote,3 months,Rs 11000/month
QA Mapleworks,Software Testing Intern,"Domain: Software Testing. Write test cases, execute beginner test plans, and log bugs for a fictional campus portal. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Software Testing, Excel, Communication, SQL",Bengaluru,On-site,3 months,Rs 8000/month
Checkpoint Daisy QA,Junior QA Intern,Domain: Software Testing. Perform manual testing on web forms and verify fixes in a fictional e-learning tool. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Software Testing, HTML, Communication",Pune,Hybrid,2 months,Rs 7000/month
Buglight Studios,Software Testing Intern - Manual,"Domain: Software Testing. Create checklists, retest bugs, and maintain a simple bug tracker for a fictional mobile web app. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.","Software Testing, Excel, Communication, Git",Hyderabad,Remote,3 months,Rs 10000/month
Northstar Quality Co,QA Analyst Intern,Domain: Software Testing. Support regression testing and write clear bug reports for a fictional payroll prototype. This is a fictional sample internship for the InternMatch AI academic project and is not a real job opening.,"Software Testing, SQL, Communication, Excel",Chennai,On-site,6 months,Rs 12000/month
